"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"Or11n2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or11q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12a1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12d12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12d13",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Or12d17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12d2",0,6.105,1.058,0,0,0,1,0.992,1.022,4.053,0.937,2.986,1.947,1,3
"Or12e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e11-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e12-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e16-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12e8",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"Or12e9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12j2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12j3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12j4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12k5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12k6-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12k7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or12k8",0,0,0,1.001,0,0,0,0,0,0,0,0,0,0,0
"Or12m1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a17",3.993,4,2.995,1,1,2,1,0,2.909,3.999,1.103,3,1,2,0
"Or13a18",32.545,21.73,13.275,15.696,8.316,6.663,12.46,13.513,11.804,4.829,21.743,7.222,14.265,8.17,10.575
"Or13a19",0.999,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Or13a20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a24",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"Or13a25",13.083,11.486,10.053,10.326,7.106,16.019,15.048,10.131,19.265,7.453,19.676,15.397,27.74,4.692,8.505
"Or13a26",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Or13a27",0,2.011,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13a28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13ae2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c10-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c7b",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c7c",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Or13c7d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c7e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13c9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13d1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13e8",0,0,0,0,1.003,0,0,0,0,0,0,1,4.045,0,0
"Or13g1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13j1",0,1,0,0,0,0,0,1,0,1,2,1,0,1,0
"Or13l2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Or13m2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13n4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13o1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13p4",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Or13p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13p8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13p9-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or13s1-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14a256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14a257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14a258",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14a259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14a260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14c39",0,0,0,0,0,0,0,0,0,0,0,0,1.001,0,0
"Or14c40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Or14c41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
